,optimizer,learning_rate,regularizer,regularizer_lambda,batch_size,rmse,epoch,train_time
78,Adam,0.001,l1,0.001,256,67951.73267518471,223,27.91273331642151
79,Adam,0.001,l1,0.0001,256,61964.13129426326,127,15.646697998046875
80,Adam,0.001,l1,1e-05,256,58994.55363270093,107,13.364779472351074
81,Adam,0.001,l2,0.001,256,75019.22113959017,19,2.5739171504974365
82,Adam,0.001,l2,0.0001,256,61007.97847703759,77,9.970873594284058
83,Adam,0.001,l2,1e-05,256,61681.916406742544,26,3.4850523471832275
84,Adam,0.001,l0,-inf,512,53672.94958844794,40,3.3984572887420654
85,Adam,0.001,l1,0.001,512,68411.79287851864,270,24.31567645072937
86,Adam,0.001,l1,0.0001,512,62255.11576615098,269,23.869614839553833
87,Adam,0.001,l1,1e-05,512,61618.01334570093,47,4.1775805950164795
88,Adam,0.001,l2,0.001,512,67704.08078730518,24,2.2398877143859863
89,Adam,0.001,l2,0.0001,512,59345.100927505686,123,11.236393213272095
90,Adam,0.001,l2,1e-05,512,57156.798434483135,48,4.53628134727478
91,Adam,0.001,l0,-inf,1024,56835.649548746194,82,6.30976128578186
92,Adam,0.001,l1,0.001,1024,110708.50224766994,10,0.986687183380127
93,Adam,0.001,l1,0.0001,1024,63813.00233167181,299,23.91072726249695
94,Adam,0.001,l1,1e-05,1024,65608.38984620363,46,3.7707762718200684
95,Adam,0.001,l2,0.001,1024,69045.31617778279,30,2.574536085128784
96,Adam,0.001,l2,0.0001,1024,67168.59695283909,68,5.6262829303741455
97,Adam,0.001,l2,1e-05,1024,58548.834186860695,72,5.836186170578003
98,Adam,0.001,l0,-inf,2048,62518.36662150012,81,6.062868356704712
99,Adam,0.001,l1,0.001,2048,111653.86880408534,14,1.1229615211486816
100,Adam,0.001,l1,0.0001,2048,70198.02116486544,85,6.345175504684448
101,Adam,0.001,l1,1e-05,2048,69593.12839769384,117,8.853973865509033
102,Adam,0.001,l2,0.001,2048,69096.45011672066,49,3.7493717670440674
103,Adam,0.001,l2,0.0001,2048,63961.60646836735,116,8.698669910430908
104,Adam,0.001,l2,1e-05,2048,58624.867957966686,81,6.322755336761475
105,Adam,0.001,l0,-inf,inf,62306.21649303422,113,10.315718412399292
106,Adam,0.001,l1,0.001,inf,110126.1986839572,34,3.161168098449707
107,Adam,0.001,l1,0.0001,inf,69840.18823903937,152,13.745210886001587
108,Adam,0.001,l1,1e-05,inf,65232.402370863936,93,8.573464393615723
109,Adam,0.001,l2,0.001,inf,69783.62530829491,124,11.46330451965332
110,Adam,0.001,l2,0.0001,inf,62550.079482345995,160,14.607422113418579
111,Adam,0.001,l2,1e-05,inf,63761.46384016769,93,8.463035821914673
112,Adam,0.0005,l0,-inf,32,55040.02460110914,46,24.533751487731934
113,Adam,0.0005,l1,0.001,32,66473.61211909266,127,81.53778290748596
114,Adam,0.0005,l1,0.0001,32,63528.19407102484,96,62.577765464782715
115,Adam,0.0005,l1,1e-05,32,55489.22332167066,76,49.33938145637512
116,Adam,0.0005,l2,0.001,32,68115.38870607996,42,28.240691661834717
117,Adam,0.0005,l2,0.0001,32,59616.767088872766,60,40.31475830078125
118,Adam,0.0005,l2,1e-05,32,55101.72346018732,76,51.31523585319519
119,Adam,0.0005,l0,-inf,64,56028.320503141455,33,9.679483413696289
120,Adam,0.0005,l1,0.001,64,66975.70156020994,169,58.470969676971436
121,Adam,0.0005,l1,0.0001,64,62035.338852643275,103,35.89965772628784
122,Adam,0.0005,l1,1e-05,64,57294.575081471885,86,29.983070373535156
123,Adam,0.0005,l2,0.001,64,69164.63335099207,69,24.93977642059326
124,Adam,0.0005,l2,0.0001,64,59237.02559301734,102,36.13026738166809
125,Adam,0.0005,l2,1e-05,64,55163.398955942066,72,25.695055961608887
126,Adam,0.0005,l0,-inf,128,54168.473554093354,39,6.692383050918579
127,Adam,0.0005,l1,0.001,128,116759.7233691856,9,1.9193215370178223
128,Adam,0.0005,l1,0.0001,128,59211.56809400473,236,45.224200963974
129,Adam,0.0005,l1,1e-05,128,60606.70765817653,117,22.599151372909546
130,Adam,0.0005,l2,0.001,128,71733.61310469983,19,3.8509275913238525
131,Adam,0.0005,l2,0.0001,128,65311.7509030325,30,6.077518939971924
132,Adam,0.0005,l2,1e-05,128,53766.40878952115,85,17.031407833099365
133,Adam,0.0005,l0,-inf,256,56915.49770036478,43,4.891618728637695
134,Adam,0.0005,l1,0.001,256,70287.79753465296,145,18.230150938034058
135,Adam,0.0005,l1,0.0001,256,61894.20388865073,294,36.50965595245361
136,Adam,0.0005,l1,1e-05,256,57784.18592678105,101,12.518178939819336
137,Adam,0.0005,l2,0.001,256,68167.44764527364,20,2.743988037109375
138,Adam,0.0005,l2,0.0001,256,66104.76323982407,39,5.2109150886535645
139,Adam,0.0005,l2,1e-05,256,62553.04760243207,63,8.09476900100708
140,Adam,0.0005,l0,-inf,512,57492.587128271596,67,5.596101522445679
141,Adam,0.0005,l1,0.001,512,68794.0938707374,499,44.78371500968933
142,Adam,0.0005,l1,0.0001,512,62857.47663904697,226,20.322035551071167
143,Adam,0.0005,l1,1e-05,512,60114.49104225854,98,8.775988340377808
144,Adam,0.0005,l2,0.001,512,67908.71562304346,23,2.2244138717651367
145,Adam,0.0005,l2,0.0001,512,62491.33259285669,39,3.585470199584961
146,Adam,0.0005,l2,1e-05,512,57376.24023393927,67,6.141093015670776
147,Adam,0.0005,l0,-inf,1024,56244.791307216125,117,8.87392544746399
148,Adam,0.0005,l1,0.001,1024,111012.24333875776,11,0.9777967929840088
149,Adam,0.0005,l1,0.0001,1024,68282.86374541846,65,5.253854990005493
150,Adam,0.0005,l1,1e-05,1024,62002.86691957437,100,8.003416299819946
151,Adam,0.0005,l2,0.001,1024,64778.0775594212,37,3.2172343730926514
152,Adam,0.0005,l2,0.0001,1024,65727.89562449805,36,2.925037384033203
153,Adam,0.0005,l2,1e-05,1024,59810.76716064835,72,5.946222543716431
154,Adam,0.0005,l0,-inf,2048,58363.00348616659,144,10.665975093841553
155,Adam,0.0005,l1,0.001,2048,111078.82830574221,16,1.2765121459960938
156,Adam,0.0005,l1,0.0001,2048,71080.59606580122,72,5.473590135574341
157,Adam,0.0005,l1,1e-05,2048,63550.21719719711,99,7.611370325088501
158,Adam,0.0005,l2,0.001,2048,68607.86411276316,68,5.154150485992432
159,Adam,0.0005,l2,0.0001,2048,62322.07377553477,89,6.725907325744629
160,Adam,0.0005,l2,1e-05,2048,69487.34790124264,94,7.110991954803467
161,Adam,0.0005,l0,-inf,inf,56599.90398922067,219,20.114794492721558
162,Adam,0.0005,l1,0.001,inf,112086.6699493393,30,2.8029916286468506
163,Adam,0.0005,l1,0.0001,inf,68655.36509359386,307,28.45943856239319
164,Adam,0.0005,l1,1e-05,inf,64794.786222951545,210,19.731650352478027
165,Adam,0.0005,l2,0.001,inf,68630.83081394079,169,15.810536623001099
166,Adam,0.0005,l2,0.0001,inf,61767.49833101876,173,16.282350301742554
167,Adam,0.0005,l2,1e-05,inf,60488.37267687529,225,20.99870204925537
168,Adam,0.0001,l0,-inf,32,53262.25464736886,53,28.346797704696655
169,Adam,0.0001,l1,0.001,32,66088.84886872514,293,188.25366353988647
170,Adam,0.0001,l1,0.0001,32,62524.52590063038,161,104.1157295703888
171,Adam,0.0001,l1,1e-05,32,55930.41319915166,174,112.62291121482849
172,Adam,0.0001,l2,0.001,32,67999.51834855323,11,7.884908437728882
173,Adam,0.0001,l2,0.0001,32,59930.5216027919,34,23.063544273376465
174,Adam,0.0001,l2,1e-05,32,57086.88678581006,46,31.12048053741455
175,Adam,0.0001,l0,-inf,64,56608.682704934115,36,10.652861833572388
176,Adam,0.0001,l1,0.001,64,69713.37370035383,499,172.05998516082764
177,Adam,0.0001,l1,0.0001,64,64388.14374250368,227,78.61389589309692
178,Adam,0.0001,l1,1e-05,64,56148.44668410693,155,53.50596857070923
179,Adam,0.0001,l2,0.001,64,67746.73241114407,20,7.594225168228149
180,Adam,0.0001,l2,0.0001,64,58914.109084553034,61,22.11839270591736
181,Adam,0.0001,l2,1e-05,64,57663.94381486721,51,18.273393154144287
182,Adam,0.0001,l0,-inf,128,55987.51744166097,39,6.6258556842803955
183,Adam,0.0001,l1,0.001,128,69306.78194811943,499,97.43576955795288
184,Adam,0.0001,l1,0.0001,128,63214.229521817004,384,74.57843375205994
185,Adam,0.0001,l1,1e-05,128,61146.6073374718,83,16.16751003265381
186,Adam,0.0001,l2,0.001,128,66496.44849225765,24,4.990637540817261
187,Adam,0.0001,l2,0.0001,128,62430.951817170164,72,14.667480945587158
188,Adam,0.0001,l2,1e-05,128,56194.76480458601,81,16.29940438270569
189,Adam,0.0001,l0,-inf,256,61341.927613222295,55,6.193228244781494
190,Adam,0.0001,l1,0.001,256,79263.14447572145,59,7.377138614654541
191,Adam,0.0001,l1,0.0001,256,62042.54175410383,499,62.247124910354614
192,Adam,0.0001,l1,1e-05,256,59536.65998879957,183,23.17115068435669
193,Adam,0.0001,l2,0.001,256,68046.34635544135,43,5.649210691452026
194,Adam,0.0001,l2,0.0001,256,58261.82666665164,87,11.234021186828613
195,Adam,0.0001,l2,1e-05,256,60424.012393697376,76,9.673318147659302
196,Adam,0.0001,l0,-inf,512,56329.253123886825,124,10.171948432922363
197,Adam,0.0001,l1,0.001,512,72290.07904538453,93,8.462488174438477
198,Adam,0.0001,l1,0.0001,512,64517.7432878044,316,28.36942982673645
199,Adam,0.0001,l1,1e-05,512,59910.698470667754,137,12.581579685211182
200,Adam,0.0001,l2,0.001,512,64183.62680234424,69,6.371292352676392
201,Adam,0.0001,l2,0.0001,512,59658.03680414788,127,11.869774580001831
202,Adam,0.0001,l2,1e-05,512,58119.76592104543,80,7.433666706085205
203,Adam,0.0001,l0,-inf,1024,57912.89201188196,164,12.651111125946045
204,Adam,0.0001,l1,0.001,1024,79077.65592946841,215,17.33517289161682
205,Adam,0.0001,l1,0.0001,1024,68116.23350595859,499,39.94551372528076
206,Adam,0.0001,l1,1e-05,1024,56371.038782029995,264,21.4273464679718
207,Adam,0.0001,l2,0.001,1024,65049.77719710407,93,7.540886640548706
208,Adam,0.0001,l2,0.0001,1024,58042.767022304004,189,15.400043487548828
209,Adam,0.0001,l2,1e-05,1024,59842.97998841522,156,12.747546434402466
210,Adam,0.0001,l0,-inf,2048,57370.259841651125,221,15.878209829330444
211,Adam,0.0001,l1,0.001,2048,107634.38018845649,61,4.535677909851074
212,Adam,0.0001,l1,0.0001,2048,66494.71640547113,410,30.779181480407715
213,Adam,0.0001,l1,1e-05,2048,64858.359363078845,199,14.884508609771729
